RF_1	RF_2	RF_3	RF_4	RF_5	RF_6	RF_7	RF_8	RF_9	RF_10
AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC
0.6837191438763378	0.6559072673550805	0.6581143133174793	0.6713586384481668	0.6595632728894174	0.6690353582012998	0.6607860582639715	0.6551277497027348	0.652922454667063	0.6607931480380499
0.0016711054727681107	0.001281434858118887	0.0008089839573300834	0.0011582503894425641	0.0011906890891782256	0.0010256286866581975	0.0014421884521268007	0.001465927395208582	0.0009845716632705089	0.0008836946910806626
0.00016711054727681107	0.0001281434858118887	8.089839573300833e-05	0.00011582503894425641	0.00011906890891782255	0.00010256286866581975	0.00014421884521268006	0.0001465927395208582	9.845716632705088e-05	8.836946910806626e-05
AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc
0.6743314876650892	0.6379377995325034	0.6390627166725145	0.650650121384708	0.6431351022371264	0.6441244107262227	0.6329215293066663	0.6359685216153037	0.640332634736327	0.640123412384012
0.0022372132606141336	0.0016581154760402252	0.0011981084388943421	0.0016324365805679016	0.0015805468705686319	0.001411573674764577	0.0019812107848777797	0.0024867416078541865	0.0013256448784291126	0.0013973435948960516
0.00022372132606141335	0.0001658115476040225	0.00011981084388943421	0.00016324365805679017	0.0001580546870568632	0.0001411573674764577	0.00019812107848777796	0.00024867416078541867	0.00013256448784291125	0.00013973435948960516
Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy
0.5801939655172412	0.560685936151855	0.5726379310344829	0.5801728608470181	0.572594827586207	0.5995944779982744	0.5765517241379311	0.5720129310344829	0.5664224137931035	0.5942327586206896
0.0026830814616048454	0.0021579419995590076	0.0017797914345605453	0.0017052001924529612	0.00213192635616463	0.0017735157930787529	0.0022239040240542105	0.002457467417042675	0.0023581171321706814	0.0019844258357874615
0.0002683081461604845	0.00021579419995590077	0.00017797914345605453	0.00017052001924529613	0.00021319263561646301	0.0001773515793078753	0.00022239040240542104	0.00024574674170426753	0.00023581171321706814	0.00019844258357874615
F1	F1	F1	F1	F1	F1	F1	F1	F1	F1
0.6810478731662051	0.6817946787760896	0.6842904470404855	0.6875006294988186	0.6823830973852018	0.6876317379972748	0.6842664261601149	0.6781501893205056	0.6749483558191944	0.6890488458149895
0.0018937092338838942	0.0014347824834675257	0.0011772065654568804	0.0011482670898950603	0.0015199102698999227	0.0012586220130010694	0.0013892664705960386	0.0016957165382837519	0.0015086012608446484	0.00137718480614615
0.00018937092338838942	0.00014347824834675256	0.00011772065654568805	0.00011482670898950602	0.00015199102698999227	0.00012586220130010695	0.00013892664705960386	0.00016957165382837518	0.00015086012608446484	0.000137718480614615
Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision
0.5491286122120668	0.5344590827942233	0.5425466978759481	0.5475278988585371	0.5429233807435095	0.5636943906196541	0.5455073682546623	0.5433954416820956	0.5398308975447811	0.5585375396253061
0.0017046525502370114	0.001272250195868538	0.0010961334839874604	0.0010553218512383317	0.0013061240260578862	0.0012197212402013454	0.001428030763941718	0.0015387177030049975	0.0014937974800081895	0.0013226800844789775
