regulatoryGene	targetGene	weight
AT2G32460	AT5G59270	0.0568293570859511
AT2G32460	AT1G48130	0.0560662474149417
AT2G32460	AT2G19960	0.0553956228330989
AT3G18550	AT4G26701	0.0510350460547884
AT2G32460	AT5G15360	0.0506174897223793
AT1G18710	AT3G06890	0.0501369252266742
AT4G00050	AT2G38210	0.0501244646432029
AT5G49330	AT2G28755	0.0480651364627263
AT5G07580	AT2G29920	0.0476788257421827
AT2G32460	AT5G53380	0.0475169790400205
AT5G18300	AT2G07671	0.047385135872276
AT2G22200	AT3G56600	0.0462684577509793
AT2G32460	AT2G31082	0.0458420926470387
AT1G18710	AT4G22980	0.0455504426083693
AT5G22570	AT3G57950	0.0454993867103583
AT5G22570	AT1G47890	0.0451298289946887
AT5G39860	AT4G21213	0.0450378073322308
AT5G22570	AT1G24147	0.0448424639952706
AT4G00050	AT2G32540	0.044839240759777
AT5G04340	AT3G26510	0.0447942415767025
AT2G32460	AT2G44340	0.0446652172979681
AT2G32460	AT1G61840	0.044638224712778
AT5G22570	AT1G65790	0.0445804291329763
AT4G29190	AT5G40720	0.0443723429582461
AT2G32460	AT5G07450	0.0443529532860813
AT1G01060	AT2G38210	0.0443019185248673
AT1G13300	AT4G13130	0.0441524266777001
AT4G36540	AT4G25420	0.0439993399082949
AT2G40750	AT4G35180	0.0438192283838885
AT2G32460	AT3G59130	0.043563700830941
AT5G62430	AT2G36750	0.04355255900421
AT1G57560	AT4G13290	0.0433873119921706
AT4G00050	AT5G08640	0.0432538740757082
AT1G57560	AT1G03850	0.043244482611575
AT2G32460	AT2G31085	0.0431600394561801
AT3G15510	AT1G13420	0.0431131245416079
AT3G25730	AT3G06890	0.0430408004312576
AT1G51140	AT2G11810	0.0427540953154988
AT5G05410	AT3G53230	0.0425600370150778
AT3G47620	AT1G49490	0.0425052900615034
AT5G59570	AT5G63580	0.0424866184686831
AT2G46310	AT4G15070	0.0418321673366557
AT5G22570	AT3G28510	0.0417721113344455
AT1G51140	AT5G05270	0.0417653607831319
AT4G28790	AT2G44390	0.041717496963081
AT5G60440	AT2G34000	0.0415052939319642
AT4G34680	AT3G05320	0.0414995744749393
AT1G18710	AT2G35000	0.04104721980671
AT4G29190	AT1G24147	0.0409029827819894
AT4G29190	AT1G65790	0.040846744128429
AT5G13080	AT5G35760	0.0407323495188901
AT4G00050	AT5G48490	0.0405556284619034
AT5G22570	AT2G35000	0.0405324321918004
AT5G01900	AT5G26690	0.0404798037798548
AT3G15510	AT1G52800	0.0404564449273101
AT2G32460	AT5G26150	0.0404542056524127
AT3G15030	AT4G18501	0.0403445919997291
AT5G41570	AT1G03700	0.0402923834566221
AT4G00050	AT1G02820	0.040284652911747
AT5G22570	AT5G03350	0.0402727144412029
AT1G73410	AT2G28970	0.0400920110700899
AT5G22570	AT5G39020	0.0400710870151589
AT5G05090	AT1G07090	0.0400020597563408
AT2G25000	AT5G22570	0.0399754733085829
AT1G51140	AT3G06145	0.039938773200789
AT4G00050	AT5G23750	0.0399217415219338
AT1G57560	AT5G43840	0.0398599690516958
AT5G67060	AT4G33120	0.0398512906141552
AT5G05090	AT1G53340	0.0398510799669139
AT1G18710	AT3G52700	0.0397960956861927
AT5G04340	AT3G14620	0.0397940181289763
AT4G01720	AT1G65790	0.0397639346854468
AT2G40750	AT1G57560	0.0397209920383545
AT4G29190	AT4G01720	0.0396871461097029
AT2G21320	AT1G50190	0.0395828783231842
AT3G58120	AT4G14130	0.0395793418700421
AT1G51140	AT1G01060	0.0395632915882796
AT1G18710	AT1G35710	0.039472020455698
AT1G51140	AT2G38210	0.0394069897909007
AT1G18710	AT3G50280	0.0393770948614829
AT5G24590	AT1G48720	0.0393587331478418
AT2G35640	ATCG00490	0.0393177333703494
AT5G04340	AT3G26450	0.0393145265872097
AT5G51190	AT5G24210	0.0393018028239255
AT1G14687	AT1G55660	0.0391889416322173
AT1G33760	AT4G21320	0.0391628458166744
AT3G13850	AT5G09876	0.0391336400841207
AT2G21320	AT5G52570	0.0391163795980631
AT1G01060	AT3G51240	0.0391106138593365
AT4G00050	AT5G05270	0.0391102628528135
AT2G22200	AT2G47150	0.0391073148183468
AT1G22640	AT1G61230	0.0389675497573632
AT5G22570	AT4G35180	0.0389497324439432
AT1G66140	AT2G32130	0.0388496107853925
AT5G39860	AT1G55430	0.0388369649903081
AT5G22570	AT4G29190	0.0387810516211356
AT1G51140	AT5G48490	0.0387173990881949
AT2G02080	AT1G61050	0.0386604548994113
AT5G67300	AT2G43018	0.0386323329554352
AT2G35640	AT3G14300	0.0386149049103628
AT3G54220	AT2G33670	0.0385800217095396
AT1G03840	AT5G07390	0.0385763373403446
AT5G49330	AT2G19890	0.038530357376236
AT4G32800	AT4G32280	0.0384612671849811
AT1G22640	AT1G07090	0.0384029450369264
AT1G01060	AT5G05270	0.0383726860576262
AT5G59570	AT5G20790	0.0383119346145442
AT1G80730	AT3G46310	0.0382634852081622
AT4G29190	AT1G35230	0.0382409293419861
AT4G36540	AT2G17620	0.0381171229699546
AT2G20880	AT4G32280	0.0380569125932172
AT1G20640	AT4G12530	0.0380371777701683
AT1G46768	AT3G56600	0.0380246163715987
AT5G67060	AT1G48400	0.0380237392782509
AT4G29190	AT1G16510	0.0380142037089121
AT2G41940	AT1G10020	0.0380008578494962
AT4G29190	AT3G57950	0.0379974254847896
AT1G18710	AT4G02330	0.0379770107844076
AT1G51140	AT5G23750	0.0379546145863459
AT4G23550	AT1G65200	0.0379268656787594
AT4G17810	AT3G23880	0.0378880840366145
AT1G33760	AT5G12030	0.0377932282204248
AT4G34400	AT5G36800	0.0377811277924592
AT1G14920	AT4G28930	0.0377196189978438
AT4G18390	AT1G06340	0.0377068376750733
AT4G25470	AT5G45640	0.037703640370328
AT5G62020	AT2G32120	0.0376939819906898
AT1G79180	AT3G07000	0.0376572365153612
AT3G07340	AT1G61050	0.0376565932250159
AT2G20880	AT4G32800	0.0376352437414311
AT4G01720	AT5G01900	0.0376220267123995
AT5G43170	AT3G45840	0.0375892563200193
AT5G61590	AT3G06520	0.0374472117562072
AT5G22570	AT1G35250	0.0374348855570716
AT1G14920	AT4G15070	0.037397374330899
AT5G22570	AT4G23140	0.0373722489972923
AT2G32460	AT1G68845	0.0373542287575214
AT4G16750	AT2G30210	0.0373324974927465
AT1G01060	AT1G65060	0.0372416499244808
AT5G49330	AT3G17130	0.0372395422676108
AT5G59570	AT2G32530	0.0372322897518543
AT1G51140	AT2G32540	0.0372098173962163
AT3G23230	AT1G72520	0.0372056580379426
AT2G32460	AT2G02300	0.0371940244553835
AT4G01720	AT1G16510	0.0370885559972758
AT1G18330	AT5G44005	0.0370870502225178
AT5G22570	AT1G13470	0.0370718809417102
AT4G30080	AT1G55660	0.037060176356589
AT2G35700	AT1G27045	0.0370570498735684
AT1G18710	AT3G20600	0.0370006147610589
AT4G29190	AT4G23030	0.0369745675755522
AT2G38470	AT5G66270	0.0369487260144571
AT1G51140	AT4G00050	0.0369284599901958
AT2G18120	AT4G31875	0.0369231886591895
AT1G19510	AT1G61800	0.0369034531393166
AT2G40200	AT3G59750	0.0368935900024776
AT4G00050	AT2G27420	0.0368796342315518
AT1G79180	AT4G27440	0.0368790289701766
AT4G34610	AT1G06340	0.0368227601517385
AT3G25730	AT3G50280	0.0367985715937917
AT4G29190	AT1G24530	0.0367554307961221
AT1G76890	AT1G13650	0.0367038761097602
AT5G59340	AT2G29320	0.036691337948252
AT4G22950	AT2G34000	0.0366870760652351
AT1G17460	AT4G12050	0.0366487246243416
AT5G22570	AT2G14560	0.0366467042545668
AT1G01060	AT5G65730	0.0366450146412087
AT4G00050	AT3G06145	0.0366349179992302
AT2G30424	AT2G17620	0.0366326045627479
AT5G22570	AT3G45860	0.036542288203747
AT5G49330	AT4G26380	0.0365322323568257
AT5G67180	AT5G43630	0.0364742740976336
AT4G17810	AT1G10020	0.0364644565279856
AT4G39410	AT1G75050	0.0364561410868933
AT5G67300	AT2G43020	0.0364197510766365
AT1G76890	AT4G00050	0.0364055493176591
AT3G44290	AT2G39040	0.0363802051056762
AT1G69780	ATMG00010	0.036361211088967
AT5G51790	AT3G14225	0.0363284848555333
AT2G34830	AT5G24540	0.0363233179579649
AT1G71030	AT4G23590	0.0363161775008867
AT4G01720	AT4G26380	0.0362948859744694
AT5G22570	AT1G13830	0.0362591997623985
AT1G22640	AT2G32610	0.0362209704509602
AT1G73410	AT3G28170	0.0362155773147657
AT2G41940	AT3G47600	0.0362100861827498
AT3G15030	AT5G15300	0.0361697983070885
AT1G51140	AT1G13650	0.036124703902587
AT2G35640	AT3G29300	0.036120811870237
AT5G59570	AT2G11810	0.0361165921937682
AT4G00050	AT1G52240	0.0361050571987662
AT3G54320	AT3G30530	0.036102414244012
AT1G56170	AT4G21323	0.0361006305383902
AT3G28857	AT4G30490	0.0360714635900968
AT4G28790	AT3G48920	0.0360420055320986
AT4G17810	AT1G02405	0.0360335322791158
AT5G51190	AT1G35140	0.0360065068791591
AT1G18330	AT4G30490	0.0360052357120075
AT2G40750	AT1G79330	0.0359975651643417
AT5G43840	AT4G10500	0.0359762241242603
AT3G47620	AT3G25670	0.0359752137969769
AT3G13850	AT2G30230	0.0359750797317239
AT1G68520	AT3G23880	0.0359742727363989
AT5G15150	AT4G21970	0.0359194482176107
AT5G22570	AT3G11340	0.0358977875180586
AT5G15150	AT1G61050	0.0358776819823121
AT2G18120	AT1G18810	0.0358703316170811
AT1G80730	AT1G33055	0.0358533580968413
AT3G46080	AT5G66270	0.0358490898524235
AT1G68320	AT3G50330	0.0357923351882541
AT2G28550	AT4G28140	0.03578276102618
AT3G10800	AT4G12400	0.0357632605345202
AT1G18710	AT3G18560	0.0357380408829389
AT5G57150	AT1G68620	0.0357376835894272
AT4G00150	AT2G40900	0.0356739213208152
AT5G13080	AT2G34600	0.0356402726928757
AT3G28857	AT2G36080	0.0356344066087216
AT5G17300	AT5G64170	0.0356083577873782
AT3G25730	AT1G33840	0.0356025326137581
AT3G46130	AT1G78440	0.0355827337323439
AT1G18710	AT3G52710	0.0355545579182584
AT4G00050	AT1G65060	0.0355541532277152
AT4G00050	AT1G13650	0.0355529541375656
AT1G20640	AT1G19530	0.0355470911226865
AT1G76890	AT2G17550	0.0355361429971075
AT5G04340	AT3G09640	0.0355321876108215
AT3G10470	AT5G06380	0.0355253026311465
AT2G40200	AT5G25180	0.035515444891489
AT5G46590	AT2G33670	0.0354991356189416
AT1G01060	AT4G14403	0.0354762552046397
AT2G20880	AT4G28140	0.0354511898950114
AT2G20880	AT1G61050	0.0353877206979947
AT2G46270	AT5G04380	0.0353829899290247
AT4G29190	AT2G40113	0.0353827888204873
AT4G28140	AT5G54960	0.0353765533850461
AT3G54320	AT2G46567	0.0353664397427755
AT1G76890	AT5G10150	0.0352697431101859
AT1G14600	AT2G29320	0.0352612973619215
AT5G22570	AT5G53550	0.0352574869377315
AT5G04410	AT3G12580	0.0352481472257256
AT2G21320	AT3G04570	0.0352170687110534
AT2G46310	AT3G50330	0.0352165027542981
AT4G38340	AT5G22570	0.0352111603542029
AT3G46080	AT2G37440	0.0351972124548405
AT1G51140	AT4G14090	0.0351910255483982
AT4G28140	AT5G45640	0.0351726097264472
AT2G42300	AT5G37990	0.0351262641717277
AT4G29190	AT3G01513	0.0350879190665939
AT3G25730	AT4G02330	0.0350809730661509
AT1G12260	AT2G38240	0.0349569777864409
AT2G42300	AT1G24570	0.0349558514478057
AT2G35700	AT5G48490	0.0349431906344975
AT1G12260	AT3G17180	0.0349137146906848
AT1G33760	AT1G14687	0.0349079212477956
AT1G78080	AT3G29810	0.0349069627264678
AT1G22190	AT3G03520	0.0348789601788398
AT4G29190	AT2G35000	0.0348611566818633
AT2G46310	AT3G50170	0.0348527675919397
AT3G13850	AT3G28340	0.0348489381767591
AT5G17300	AT5G24960	0.034801619190519
AT5G64530	AT4G32860	0.0347858976288177
AT2G21320	AT5G49330	0.0347571290536681
AT4G29190	AT5G39020	0.0347453239886492
AT3G49930	AT2G47150	0.0347243002871526
AT2G40750	AT1G03850	0.0347180641915259
AT5G62430	AT4G21323	0.0347126136342076
AT4G30080	AT3G17400	0.0347060651839818
AT1G51140	AT3G51240	0.0346991557101741
AT1G14687	AT3G44290	0.0346837469936179
AT5G67300	AT5G55970	0.0346615754672625
AT5G64530	AT4G02180	0.0346315542940129
AT2G20350	AT4G12050	0.0346222515973302
AT5G59340	AT1G34060	0.0346030670465417
AT1G13300	AT5G41570	0.0345793801766602
AT5G49330	AT4G21323	0.0345664389656606
AT5G05090	AT5G40720	0.0345400007906114
AT5G28650	AT4G08550	0.0345394780483293
AT4G01720	AT4G29190	0.0345219913958795
AT3G48920	AT3G19390	0.0344937375390045
AT1G18330	AT3G29810	0.0344917542059238
AT5G22570	AT5G40720	0.034488697156342
AT5G62430	AT1G52450	0.0344876060666349
AT2G22200	AT5G15770	0.0344376002399993
AT5G04340	AT2G32150	0.0344129453615913
AT5G43170	AT1G44030	0.0344020671143623
AT5G03150	AT4G14103	0.0343728115117047
AT4G01120	AT4G17580	0.0343651403946133
AT4G01550	AT3G46230	0.0343564755883681
AT2G32460	AT3G50290	0.0343450741103413
AT3G48920	AT2G34830	0.0342814236246536
AT1G33760	AT3G07150	0.0342329104294876
AT1G02230	AT5G39000	0.0342245907539023
AT5G18300	AT1G19390	0.0341996273976983
AT1G13300	AT1G16160	0.0341857568240565
AT4G29190	AT4G10500	0.03415994823657
AT5G41570	AT1G13300	0.0341595804090751
AT2G21320	AT1G44608	0.0341568090181121
AT5G59820	AT3G09640	0.0341477419534527
AT1G22640	AT4G29190	0.0341352943069963
AT5G05410	AT4G00940	0.034065330502819
AT1G78080	AT1G13080	0.0340565491339653
AT5G43650	AT5G15360	0.034046241977081
AT1G76890	AT5G24230	0.0340460285440435
AT5G62430	AT3G29810	0.0340434005914117
AT4G00050	AT5G07390	0.0340283208429453
AT3G46130	AT5G59480	0.0340015922577969
AT1G46768	AT1G79330	0.0339899662140173
AT5G05090	AT4G22530	0.0339693998805813
AT4G16610	AT5G07990	0.0339650984006192
AT1G27730	AT1G12060	0.0339403197685311
AT5G49330	AT3G29810	0.0339310143629108
AT1G14920	AT5G24200	0.0339179625804381
AT5G61590	AT2G36970	0.0338953306688427
AT3G13840	AT1G09650	0.0338406210762754
AT2G26150	AT1G72660	0.0338346719656856
AT3G47600	AT3G46720	0.0338273028594657
AT1G01060	AT5G21100	0.033788648483697
AT2G45160	AT5G04980	0.0337836096251235
AT4G29190	AT2G46940	0.0337760041488151
AT2G35700	AT4G24130	0.0337626318286544
AT4G17810	AT1G20070	0.0337605973553677
AT2G26940	AT1G05065	0.0337137713066046
AT1G18330	AT1G52450	0.0337024097346885
AT5G14000	AT1G79330	0.0337010985950688
AT2G40750	AT2G14560	0.0336714306655508
AT5G60130	AT1G02610	0.0336678699092434
AT2G26150	AT3G46230	0.0336578644592633
AT3G07340	AT2G20880	0.0336521069908995
AT1G56170	AT3G29810	0.0336421881945312
AT5G51790	AT5G39000	0.0336309619061081
AT5G22570	AT2G25000	0.0336215054607144
AT2G21320	AT2G19960	0.0336174686171816
AT5G18300	AT1G55660	0.0335965373497601
AT3G15030	AT5G12030	0.0335869825281177
AT2G42300	AT5G43030	0.0335660056213913
AT3G25730	AT3G49210	0.0335495887059549
AT3G07340	AT4G34510	0.0335462001815407
AT2G40750	AT2G29090	0.0335419377176695
AT5G46590	AT5G18300	0.0335308903571091
AT1G76890	AT2G36970	0.033510408733394
AT5G10280	AT3G46720	0.0335010558312358
AT1G51140	AT2G35700	0.033483724312981
AT5G61590	AT2G30670	0.03346598149278
AT1G51140	AT2G27420	0.0334641114197609
AT5G43170	AT5G64170	0.0334391156149243
AT1G18710	AT5G25910	0.0334220715694465
AT4G39410	AT4G01950	0.0334011262767167
AT5G59570	AT2G29320	0.0333860309433471
AT4G01720	AT4G21920	0.0333577171299215
AT2G40750	AT3G11340	0.0333363368689638
AT2G40750	AT5G42830	0.0333340931774883
AT4G17500	AT2G34600	0.033302176653048
AT3G50260	AT4G32280	0.033298493025554
AT2G46270	AT1G68620	0.033281505951453
AT5G22570	AT4G10500	0.0332641901265448
AT4G28790	AT2G14560	0.0332633424650333
AT5G67300	AT3G56200	0.0332399634082669
AT3G12977	AT1G69150	0.0332287792873847
AT1G80730	AT5G41040	0.0332199131496245
AT5G22570	AT2G44380	0.0332198710044372
AT5G05090	AT4G23130	0.0332018575677194
AT1G68520	AT3G52130	0.0331877895696948
AT5G04340	AT2G43020	0.033162768287446
AT5G62430	AT2G19890	0.0331550373857501
AT1G77850	AT4G12960	0.033148844654097
AT1G51140	AT2G29320	0.033142300005607
AT5G61600	AT5G60800	0.0331195465626183
AT5G46830	AT1G54540	0.0331168919581171
AT5G41570	AT2G05180	0.0330866945647332
AT5G46830	AT4G37160	0.0330795033341942
AT1G19510	AT4G36700	0.0330443259811178
AT5G25160	AT3G12440	0.0330196224620496
AT5G04340	AT3G53230	0.0330093270758462
AT5G61590	AT1G22770	0.0329938346377236
AT3G25730	AT4G22980	0.0329830610082279
AT5G05410	AT4G23493	0.0329775325765299
AT1G22640	AT5G42840	0.0329467755788233
AT5G22570	AT5G14000	0.0329421962859344
AT2G46310	AT3G25730	0.0329306016470683
AT4G29190	AT5G18730	0.0329188107045607
AT1G51140	AT2G02950	0.0329065115183111
AT5G46830	AT5G48410	0.0328972247233073
AT5G51190	AT5G57560	0.0328895716725592
AT5G57150	AT1G66780	0.0328685938262332
AT5G13080	AT3G60120	0.0328476178663795
AT5G57150	AT5G39865	0.0328462467833085
AT5G61600	AT1G35140	0.0328422069536269
AT5G06250	AT4G33120	0.0328190511318908
AT4G28790	AT5G48090	0.0328113966272175
AT5G22570	AT1G16510	0.0328001282819327
AT5G67300	AT4G10250	0.0327981234212158
AT4G01550	AT1G17870	0.0327945248359182
AT4G16750	AT5G46830	0.0327869647797733
AT1G77850	AT3G07425	0.0327654996969882
AT3G48920	AT4G01670	0.0327625358726219
AT1G51140	AT3G55120	0.032739757343262
AT3G10800	AT5G03560	0.0327378116006568
AT1G33760	AT5G25450	0.0327120571337482
AT2G20880	AT4G16146	0.032703056475963
AT1G66350	AT4G21920	0.0326698403900138
AT1G79180	AT3G05980	0.032666921098514
AT1G66140	AT1G29179	0.0326633933915944
AT3G28910	AT3G20190	0.0326629005584155
AT2G35640	ATCG00020	0.0326608715284159
AT1G69780	AT4G30940	0.0326399602921706
AT1G20640	AT3G53230	0.0326334061704689
AT5G05090	AT2G44380	0.0326249943708363
AT2G32460	AT2G17590	0.0326134785931235
AT1G13600	AT4G15975	0.0325979460153573
AT4G29190	AT2G25000	0.0325722863585866
AT3G29035	AT5G09805	0.0325523924680934
AT1G01060	AT1G74770	0.0324977574970368
AT1G55580	AT1G69150	0.032493388690125
AT4G00050	AT3G51240	0.0324930301168013
AT4G34680	AT3G17130	0.0324679389352894
AT5G43650	AT1G53633	0.0324607250594616
AT2G35640	AT1G15380	0.0324572412857115
AT1G01060	AT5G48490	0.0324348734345695
AT3G28910	AT3G52710	0.0324291521495125
AT2G35640	AT4G21213	0.0324289220644779
AT5G05410	AT5G12020	0.0324048437078661
AT2G36080	AT2G41230	0.0323965091880087
AT2G35640	AT2G37870	0.0323930690935577
AT2G36080	AT3G17130	0.0323687602461168
AT1G01250	ATCG00490	0.0323668917148658
AT4G00150	AT4G31615	0.0323564033747239
AT2G25900	AT3G25670	0.0323517929156957
AT5G06250	AT4G32800	0.0323307280142148
AT2G44840	AT3G60120	0.0322855480739287
AT4G00050	AT1G22770	0.0322833261046614
AT1G03840	AT1G53633	0.0322639877107051
AT4G17810	AT3G06080	0.0322543098838656
AT1G22640	AT1G16510	0.0322535208010255
AT1G14600	AT2G36970	0.0322511040705453
AT4G00150	AT5G04980	0.0322273389058142
AT5G59570	AT1G24570	0.0322194930308718
AT5G61600	AT5G15960	0.0322047077906627
AT5G62430	AT2G25090	0.0321890603282647
AT3G13840	AT4G28930	0.0321839733453599
AT5G64530	AT5G38350	0.0321306259926506
AT2G35700	AT5G23750	0.0321300749993573
AT3G15510	AT5G04230	0.0321241331908323
AT3G54320	AT3G03510	0.0321071032517878
AT4G18390	AT1G68320	0.032093831732819
AT5G61590	AT2G30930	0.032075844305862
AT2G35700	AT3G06145	0.0320697570959216
AT1G76890	AT1G20070	0.0320438621434755
AT1G14600	AT2G35700	0.0320386784024839
AT1G68520	AT5G54585	0.0320336781989425
AT5G24110	AT3G20935	0.0320255699120034
AT1G66140	AT3G46310	0.0320210205662072
AT4G34680	AT5G39865	0.0320178628797405
AT4G29190	AT5G22570	0.0320117177031515
AT2G46270	AT1G32350	0.0319839635751048
AT1G12630	AT4G15990	0.0319592382824149
AT4G29190	AT2G18050	0.0319493958831734
AT1G22190	AT3G26170	0.0319289239375183
AT3G15030	AT3G25970	0.0319278976508421
AT5G59570	AT1G51140	0.0319200650034564
AT3G46130	AT3G61028	0.0319118792141838
AT4G00050	AT2G47370	0.0319069364323974
AT1G27045	AT2G32530	0.0319062205607353
AT5G39760	AT1G53080	0.0318847588572632
AT1G20640	AT5G14020	0.03185551017229
AT1G18330	AT4G21323	0.0318550676639664
AT3G21880	AT5G38820	0.0318545112563719
AT3G25730	AT3G52710	0.03185246311716
AT2G25000	AT3G25882	0.0318464657356912
AT1G71030	AT2G29920	0.0318455975544307
AT3G58120	AT3G13065	0.031842274669741
AT4G34410	AT1G13430	0.0318414851476182
AT5G15480	AT2G07674	0.0318376995687677
AT3G51910	AT4G12400	0.0318257919659455
AT2G34140	AT3G44290	0.0318254662891657
AT1G51140	AT5G08640	0.0318235760975546
AT5G04340	AT3G26170	0.0318209778033206
AT4G34680	AT4G18450	0.0317958578005562
AT3G47600	AT1G10020	0.0317754790949111
AT2G42300	AT2G17550	0.0317578352724483
AT5G64750	AT5G02390	0.0317561998571256
AT5G28650	AT3G28340	0.031753049021235
AT2G45160	AT3G55110	0.0317310520226236
