gene	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28
AT4G37685	7.51459586004946	7.54135609839825	7.3006402316534	7.72275847194434	7.89217057040065	8.00329093125161	7.3157704422412	7.41704203861583	7.50418997810022	7.95202017332703	7.91406794402451	7.91140093721	7.84703492508405	7.83501604896962	7.76963846901251	7.27839780854177	7.5474162842437	7.64005059274976	7.88253291157846	7.8532373331252	7.4431599602933	6.85192214707425
AT4G37700	7.22901676470989	6.85192214707425	7.38200834602178	7.31010336663337	7.30488729807225	7.19818690949631	7.04196666702135	7.17298698826001	7.17444806559061	7.28368821032982	7.54534989470427	7.31722733913283	7.54381390804026	7.32429483319592	7.52088974335025	6.85192214707425	6.85192214707425	6.85192214707425	7.37537864049853	7.42138434164752	7.60496205193265	7.65613614248782
AT4G37780	7.11894670518056	7.11943423812531	6.85192214707425	7.35974178298347	6.85192214707425	7.07123400970502	7.08459428200306	7.13011539278819	7.06331572583728	7.16496450925098	7.18124730920744	7.22037251528104	7.12040329748472	7.26664410443251	7.25163845023166	6.85192214707425	6.85192214707425	7.09595704662569	7.22307111705312	7.19164818742361	6.85192214707425	7.17496271044869
AT4G37860	6.85192214707425	6.85192214707425	6.85192214707425	6.97949190968085	6.97802857675051	6.96165723739884	6.85192214707425	6.85192214707425	6.85192214707425	6.94647631787338	7.04233296829021	6.85192214707425	7.04190375511762	6.85192214707425	6.85192214707425	6.85192214707425	6.85192214707425	6.85192214707425	6.85192214707425	6.85192214707425	6.85192214707425	12.5167904923902
AT4G37890	7.98793987961569	8.25693374175849	7.85873090149559	8.46028443757757	8.63303331652047	8.39104587084814	7.72057850168911	8.01830464968729	8.15128837811442	8.55970318245573	8.7760117244111	8.48103666071695	8.43896784330258	8.81814141019283	9.05436062451798	7.72935223143708	8.07300144729954	7.67523638657813	8.64281701909989	8.64109514781233	7.70055782318098	7.69629070025379
AT4G38340	7.64414840335311	7.33265050897099	7.90407271672261	8.26134388734147	8.12702169356577	8.12713957346735	7.61550110211526	7.73378122676887	7.51514987104826	8.05023331032783	8.34421088790748	8.42863990912305	8.82789189059568	8.74365840078158	8.81041244263807	7.37330790506627	7.28038339364339	7.33826785091617	8.4610735133235	8.46856010996381	8.37566864103567	8.24488211514547
AT4G38420	8.82193543528188	8.84189318604412	8.40085424954389	9.61015561218641	9.87947651932725	9.80428253582194	9.22686629269495	8.78829993959368	9.32579023178175	9.28328587437091	9.13157302416996	9.16602723012204	9.72999106332233	9.78298551238869	9.68234017258193	8.80379302720855	8.52403328881723	8.89406814470452	9.58753075945823	9.58316136969242	8.67766141637409	8.79873168776129
AT4G38850	8.25455078768393	8.17144979656169	7.72811719780134	8.16287845963054	8.25609046899023	8.22626309573922	7.56871798357566	7.5640749749883	7.95135924324391	8.62689360315624	8.47008001917686	8.71313041262264	8.58844877699505	8.11404699781289	8.33072552727108	8.07504707275994	7.76556526035557	8.09086613970433	8.36663668743027	8.42878440716774	8.27396945509276	8.54562585503956
AT4G39320	7.20478664724588	7.31395373376196	7.43535617873466	7.95880737028186	7.73028391861631	7.7300125705603	7.36996917566922	7.33229172506548	7.35306642909825	7.86683860253634	7.74161062675315	7.77095303000094	7.59227065517262	7.88264928459982	7.79651394951085	7.60502746585382	6.99520911344135	7.35792951146985	7.74903315522736	7.82606378004647	7.32475511755862	7.34401725134869
AT4G39410	7.59985611497692	7.54135609839825	7.79097329942966	7.74873989747099	7.86361901158751	7.6411212862294	7.18061558872019	7.78714447224204	7.59665429828488	7.8708918472642	7.78815259355633	7.94611270503441	8.13340134181109	7.93516597274371	8.05786669357389	7.45289368661206	7.51833333239524	7.35792951146985	7.93400238152991	7.87088976879977	7.60496205193265	7.98940370903534
AT4G39480	7.48797503476337	7.17932277665812	7.20005510736453	7.83745983334739	8.0529204878225	7.77395297175933	7.3157704422412	7.35801944408639	7.63398158932669	7.55882537208183	7.55782855924453	7.94611270503441	7.86367147154928	7.81853439698109	7.86626711914976	6.85192214707425	7.53304141402177	7.3768264924952	7.78939975879595	7.8621082144999	7.4431599602933	7.4388869948975
