RF_1	RF_2	RF_3	RF_4	RF_5	RF_6	RF_7	RF_8	RF_9	RF_10
AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC	AucROC
0.6242360943321371	0.6351298692582352	0.6353482159103451	0.6206425079271329	0.629797548629195	0.6425512094284411	0.6350157535921919	0.6443664818742337	0.6524531531047814	0.6446106420455732
0.000934972261543776	0.0010118500493543634	0.0009645270457724487	0.0008700066806360565	0.0010570872971086172	0.0009704876747061024	0.0009910910732512477	0.0010107705470305173	0.0009417551790065355	0.0008130382613525363
9.349722615437759e-05	0.00010118500493543634	9.645270457724487e-05	8.700066806360566e-05	0.00010570872971086172	9.704876747061024e-05	9.910910732512477e-05	0.00010107705470305172	9.417551790065354e-05	8.130382613525362e-05
AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc	AucPRc
0.6287880862375882	0.6491525597187398	0.6309760087285192	0.627198098232365	0.628398944092954	0.6315055701911042	0.6344650896860652	0.6424643923281746	0.6554168469891354	0.6478146203094894
0.0012411958768535176	0.0013086861097719783	0.0011606578163751533	0.0011736781381521553	0.0011836951664472618	0.0013319622843310968	0.0012054705234298402	0.0012011584875153253	0.0014312501038050056	0.0012353263429626812
0.00012411958768535175	0.00013086861097719784	0.00011606578163751533	0.00011736781381521554	0.00011836951664472618	0.00013319622843310967	0.00012054705234298402	0.00012011584875153253	0.00014312501038050057	0.0001235326342962681
Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy	Accuracy
0.5370854922279793	0.5219257340241796	0.5302936096718479	0.5	0.5377417962003453	0.5343221070811744	0.5091278065630398	0.535034542314335	0.5294905008635579	0.5496459412780657
0.002349841536090119	0.0020586212317872726	0.0017311266035463526	0.0	0.0014833287357616579	0.002197831094221827	0.0005324028546389754	0.0016867254726070423	0.0014274849097423697	0.0021081957187070984
0.0002349841536090119	0.00020586212317872727	0.00017311266035463526	0.0	0.0001483328735761658	0.0002197831094221827	5.324028546389754e-05	0.00016867254726070423	0.00014274849097423696	0.00021081957187070983
F1	F1	F1	F1	F1	F1	F1	F1	F1	F1
0.6742851517838885	0.6696431759855502	0.6715442870546211	0.6666666666666669	0.6708972960866294	0.6716101088994839	0.669034125119301	0.6738907346373826	0.6676989861822052	0.6716173618431557
0.0011016670172516807	0.001000123538785231	0.0008150246789211961	2.220446049250313e-16	0.0009175208337863903	0.0011495849206050763	0.0005534218311077361	0.0008469526626346496	0.0009226744748856806	0.0013698859856471966
0.00011016670172516807	0.0001000123538785231	8.150246789211961e-05	2.2204460492503132e-17	9.175208337863903e-05	0.00011495849206050762	5.5342183110773614e-05	8.469526626346496e-05	9.226744748856807e-05	0.00013698859856471965
Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision	Precision
0.5201331803800678	0.511580031898192	0.5162887707644692	0.5	0.5208639320907903	0.5186961506149582	0.5046418938527495	0.5189234256505565	0.5161001935323754	0.5284884583259329
0.0013454580253908542	0.0011437549114751903	0.0009750297910466351	0.0	0.0008893182186979644	0.0012463466428211925	0.00026722539816284433	0.0009523920257274624	0.0008037413987685484	0.001277128450031959
0.00013454580253908542	0.00011437549114751903	9.75029791046635e-05	0.0	8.893182186979644e-05	0.00012463466428211926	2.6722539816284432e-05	9.523920257274624e-05	8.037413987685484e-05	0.0001277128450031959
TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR	TPR
0.9583074265975821	0.9690759930915371	0.9603367875647666	1.0	0.942348877374784	0.952383419689119	0.9922797927461139	0.9608290155440415	0.945405872193437	0.9210794473229708
0.002689757473581735	0.004565755429294317	0.002249414897032127	0.0	0.0037584514294116264	0.002558872170956623	0.0014440794484756063	0.0018542177915582558	0.0025575895574072105	0.0035160593595696303
0.0002689757473581735	0.00045657554292943164	0.0002249414897032127	0.0	0.0003758451429411626	0.0002558872170956623	0.00014440794484756064	0.0001854217791558256	0.0002557589557407211	0.00035160593595696303
FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR	FPR
0.8841364421416235	0.925224525043178	0.8997495682210709	1.0	0.8668652849740934	0.8837392055267703	0.9740241796200344	0.8907599309153714	0.8864248704663212	0.8217875647668393
